Game_ID,Away win,Draw,Home Win
ID_8518U587,0.18939867621345793,0.663733892485374,0.14686743130116806
ID_H49BIKG7,0.0116536878562747,0.10785221670334877,0.8804940954403765
ID_PO6SP4VA,0.2467394260490659,0.7167268206823174,0.03653375326861668
ID_MZRCNBAQ,0.6780650487555315,0.19282446459022903,0.12911048665423946
ID_CV9VOLIU,0.0043957491779689824,0.061376974436224856,0.9342272763858062
ID_EP02V6O9,0.019878222013956243,0.020581461255323136,0.9595403167307207
ID_D1BKOMNB,0.46100007867035164,0.13808510699701182,0.40091481433263654
ID_GGFY5Z38,0.012281277334631894,0.9424911298654727,0.04522759279989534
ID_YQ6DCSJJ,0.319618210717171,0.4533149210394121,0.22706686824341688
ID_ZIMAODWU,0.8559971037750024,0.12887821917887896,0.015124677046118605
ID_H6V0DHCM,0.004328700700576383,0.9731041265351906,0.022567172764232996
ID_EFUM1IB3,0.007894840467445256,0.5453393538634357,0.44676580566911905
ID_7H9RUYR2,0.1528957669235375,0.05236256905783333,0.7947416640186291
ID_7JTHUMTF,0.13231820143906084,0.3201190121834895,0.5475627863774497
ID_VZDE4BA3,0.8209471395744465,0.038524396122041726,0.14052846430351168
ID_1Y735BT9,0.28512358658403225,0.3508066968437593,0.3640697165722085
ID_C51DS9XE,0.08337203626368042,0.07421378460353839,0.8424141791327813
ID_EEAWBOYL,0.29104918820643283,0.20972181923453703,0.4992289925590302
ID_OKHY3GBQ,0.0827335303592833,0.5315331615288724,0.38573330811184425
ID_JKJP61NL,0.019131067038853797,0.9300221702003466,0.05084676276079963
ID_ZRZC49M1,0.016011433147357923,0.878964080542509,0.10502448631013313
ID_NQGKKQRG,0.7817405444055592,0.17156703756968728,0.046692418024753546
ID_KL74YZ1W,0.6771949329760175,0.06473236163092203,0.2580727053930605
ID_D4BBONMS,0.13970055704959802,0.09527920814079072,0.7650202348096112
ID_E4NAVOHG,0.16121112374896868,0.7332841079843497,0.10550476826668147
ID_8AKT073X,0.021804695307393374,0.8872120824950174,0.09098322219758932
